Data;Descricao;Valor;Categoria;Parcela;TotalParcelas
06/12/2025;Quem Disse Berenice;82,76;Cosméticos;3;3
06/12/2025;Elegância Distribuidor;122,66;Roupas e calçados;3;3
06/12/2025;Lykke Moda;217,92;Roupas e calçados;4;5
06/12/2025;Personare;34,64;Outros passeios;2;2
06/12/2025;HTM Curso;103,69;Cursos;2;2
08/12/2025;Amazon Marketplace Editora WM;32,39;Presentes;1;4
08/12/2025;Nina Basics;81,60;Roupas e calçados;1;6
13/12/2025;Kopenhagen Frei Caneca;220,83;Cafeteria e lanches;;
13/12/2025;Churrascaria Violeta;251,90;Restaurantes;;
18/12/2025;Party Games;111,83;Jogos e aplicativos;;
20/12/2025;Catarse Manual Vermelho;72,00;Livros e cultura;;
20/12/2025;Mercafé;118,73;Supermercado;1;2
21/12/2025;Authentic Feet;200,01;Presentes;1;3
21/12/2025;Galeria Melissa;84,95;Roupas e calçados;1;2
21/12/2025;L'Occitane Frei Caneca;354,60;Cosméticos;;
23/12/2025;Amazon Digital;39,90;Assinaturas de streaming;;
28/12/2025;Daiso Brasil;76,96;Compras para casa;;
28/12/2025;Burger King;47,90;Restaurantes;;
31/12/2025;Youcom Vestido;239,90;Roupas e calçados;;
01/01/2026;Mercado Livre Suporte Gavetas;77,90;Compras para casa;;
03/01/2026;Kome Restaurante;49,23;Delivery;;
05/01/2026;Amazon Livros Dilema dos Três Corpos;39,90;Livros e cultura;;
